Country,Last,Previous,Reference,Unit
Switzerland,0.25,0.5,Mar/25,%
Japan,0.5,0.5,Mar/25,%
Singapore,2.3,2.33,Apr/25,%
Euro Area,2.65,2.9,Mar/25,%
Canada,2.75,3,Mar/25,%
South Korea,2.75,2.75,Mar/25,%
China,3.1,3.1,Mar/25,%
Australia,4.1,4.1,Apr/25,%
United Kingdom,4.5,4.5,Mar/25,%
United States,4.5,4.5,Mar/25,%
Saudi Arabia,5,5,Mar/25,%
Indonesia,5.75,5.75,Mar/25,%
India,6,6.25,Apr/25,%
South Africa,7.5,7.5,Mar/25,%
Mexico,9,9.5,Mar/25,%
Brazil,14.25,14.25,Apr/25,%
Russia,21,21,Mar/25,%
Argentina,29,29,Mar/25,%
Turkey,42.5,45,Mar/25,%